Código,Empresa,Setor,Preço,P/VP,DY
BCRI11,Outros,"63,64","14,01%","15,49%","0,75",398.251.000,588.983,0,"0,00","0,00","0,00%","0,00%",
BFCC11,Escritórios,"101,89","4,88%","2,00%","1,04",846.136.000,7,1,"26.092,20","1.823,67","6,99%","0,00%","Avenida Paulista, n° 1374, Bela Vista, na cidade de São Paulo, no Estado de São Paulo. Edifício Brazilian Financial Center."
BGRB11,Escritórios,"108,90","5,09%","5,47%","0,92",210.496.000,16.923,1,"42.784,20","2.916,01","6,82%","2,85%","Avenida Brigadeiro Faria Lima, nº 3.732, São Paulo, SP"
BICE11,Outros,"888,00","5,28%","5,97%","0,79",118.472.000,42,0,"0,00","0,00","0,00%","0,00%",
BICR11,Títulos e Val. Mob.,"35,92","14,26%","6,42%","0,86",17.960.000,0,0,"0,00","0,00","0,00%","0,00%",
BIME11,Outros,"6,40","10,38%","14,81%","0,75",37.411.900,47.169,1,"259,84","0,00","0,00%","0,00%",Matrícula- 237.131 14º RI
BIPD11,Outros,"989,33","-2,41%","6,67%","1,03",109.261.000,40.963,2,"8.012,38","0,00","0,00%","0,00%","Av. Prof. Fonseca Rodrigues, 143/197, Alto de Pinheiros - São Paulo / SP,Avenida Jamaris, 884, 892 e 898  Moema São Paulo / SP"
BLCA11,Escritórios,"98,78","6,40%","6,39%","0,77",158.048.000,136.037,1,"37.383,50","3.084,95","8,25%","0,00%","Avenida Brigadeiro Faria Lima, 3477, Sem Complemento, Itaim Bibi, Sao Paulo/SP, Brasil, 04538-133"
BLCP11,Logística,"91,00","5,41%","0,00%","0,81",208.962.000,0,2,"3.014,16","199,89","6,63%","0,00%","Estrada Municipal Thereza Thomazella, 432, Bairro Dos Pires, Extrema/MG, Brasil, 37640-000,Rodovia  Dom Gabriel Paulino Bueno Couto, Km 80,24, Cabreuva/SP, Brasil, 13315-000"
BLMC11,Títulos e Val. Mob.,"85,75","11,10%","0,00%","0,91",34.257.100,0,0,"0,00","0,00","0,00%","0,00%",
BLMG11,Multicategoria,"33,21","12,20%","13,26%","0,70",155.242.000,288.825,1,"2.396,18","317,61","13,25%","0,00%","Rua do Uruguai, nº 43, 55 a 59, 47, 06, 382, sub-distrito dos Mares, Salvador, Bahia"
BLMO11,Escritórios,"87,91","6,96%","7,36%","0,89",87.454.100,3.215.990,1,"10.620,70","965,29","9,09%","0,00%","Av. das Nações Unidas, nº 12.901, São Paulo - SP"
BLMR11,Títulos e Val. Mob.,"6,78","10,17%","0,00%","0,84",173.172.000,0,0,"0,00","0,00","0,00%","0,00%",
BLOG11,Multicategoria,"7,50","4,57%","3,18%","0,67",230.975.000,107,6,"1.797,97","145,71","8,10%","12,80%","Avenida Doutor Mendel Steinbruch, 11. 308,Rodovia SC - 417, 11915, Bairro Mina Velha, Garuva/SC,Rodovia BR - 101 Norte, 5.800 - Jaguaribe,Via de Ligação, 858-1.176,Av. Alfredo Bandeira de Melo, s/n - Quadra Area - Lote C - Vila Rural, Igarassu-PE,Via de Ligação Camaçari, s/n - polo industrial de Camaçari"
BLUR11,Títulos e Val. Mob.,"76,03","10,06%","1,34%","0,99",6.842.700,0,0,"0,00","0,00","0,00%","0,00%",
BMLC11,Outros,"100,00","8,30%","8,37%","0,91",99.840.500,7.093,1,"16.659,50","1.519,94","9,12%","0,00%","Rua Lauro Muller, 116, 21º, 27º, 28º E 40º Andares, Botafogo, Rio De Janeiro/RJ, Brasil, 22290-160"
BNFS11,Varejo,"54,99","21,31%","18,18%","0,79",38.493.000,90.133,18,"3.466,24","886,22","25,57%","0,44%","Av. Cecilio Monza, 10827 - Porto Alegre-RS,Av do Forte, 1128 - Porto Alegre-RS,Rua Maranhao 280 - Santa Maria-RS,Av. 20 de Setembro, 3755 - Sapiranga-RS,Rua Baltazar Brum, 320 - Quarai-RS,Av. Padre Claret  1104 - Esteio-RS,Rua Henrique Bier, 1125 - Sao Leopoldo-RS,Rua Osvaldo Aranha, 2396 - Taquari-RS,Av. Joao Pereira de Vargas, 1460 - Sapucaia do Sul-RS,Av. Flores da Cunha, 175 - Santa Rosa-RS,Rua Jose Do Patrocinio, 165 - General Camara-RS,Av. Atlantica, 537 - Rio Grande,RS,Av. Assis Brasil,  657 - Arroio do Sal-RS,Rua Moreira Paz 591 - Vacaria-RS,Av. Tomaz Edison, 2615  - Sao Leopoldo-RS,Av. Julio de Castillhos, 303 - Sao Gabriel-RS,Rua Odorico Mosmann, 257 - Parobe-RS,Av. Venancio Aires, 1745 - Cruz Alta-RS"
BPFF11,Outros,"54,52","16,27%","7,58%","0,78",244.922.000,0,0,"0,00","0,00","0,00%","0,00%",
BPML11,Multicategoria,"94,68","9,98%","11,81%","0,76",704.584.000,4.679.280,4,"5.305,80","731,14","13,78%","8,23%","Q. 107, Norte Avenida, NS 5, s/n, Shopping, Palmas, TO, 77001-098,Av. Maestro Paulo e Silva, 400, Shopping, Rio de Janeiro, RJ, 21920-445,Rua América Deolindo Garla, 224, Shopping, Londrina, PR, 86079-225,Av. Severino Ballesteros, 850 - Cabral, Contagem - MG, 32110-005"
BPRP11,Outros,"107,50","10,56%","0,00%","0,86",145.107.000,0,1,"6.230,68","692,07","11,11%","0,00%","Avenida Pl Do Brasil, 3001,  Fontes, Aruja/SP, Brasil, 07415-000"
