Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
ASTA4,"25,83","-30,79","1,00","0,652","0,00%","0,446","2,57","19,90","-3,30","33,20","33,20","3,28%","-2,12%","1,71","2,52%","-3,25%","0,00","515.672.000,00","0,85","-4,73%"
VGOR4,"5,87","-29,58","7,18","1,229","0,00%","1,468","113,97","27,32","-3,22","34,09","34,09","4,50%","-4,59%","1,04","6,00%","-24,29%","0,00","135.178.000,00","1,89","4,77%"
CRBM3,"90,00","-28,95","3,26","1,498","0,00%","1,172","2,98","-15,45","16,90","-14,17","-14,17","-9,70%","-5,18%","2,24","-12,71%","-11,28%","0,00","827.347.000,00","0,45","-1,58%"
MAPT4,"3,00","-26,77","-0,42","0,000","0,00%","3,567","-551,40","-32,82","-0,38","-32,82","-32,82","0,00%","0,00%","0,00","-10,87%","1,58%","21,90","-6.507.000,00","0,00","0,00%"
BAHI5,"65,00","-25,74","90,70","5,203","0,00%","4,439","-10,51","202,93","-5,97","206,88","84,96","2,56%","-18,50%","0,21","2,28%","-352,31%","0,00","19.087.000,00","2,40","4,45%"
DFVA4,"8,00","-25,35","49,04","3,497","0,00%","4,335","23,51","-45,18","-25,43","-47,55","-47,55","-7,74%","-13,79%","1,33","-10,35%","-193,42%","0,00","1.170.000,00","2,84","3,39%"
CVCB3,"1,93","-24,78","2,12","0,681","0,00%","0,271","-1,61","5,59","-0,94","6,11","2,69","12,18%","-2,75%","0,78","6,72%","-8,55%","27.680.500,00","478.791.000,00","0,83","14,22%"
CLSA3,"10,51","-24,46","3,06","4,148","0,00%","2,300","7,91","-13,18","8,04","-10,92","-16,07","-31,48%","-16,96%","2,19","-30,79%","-12,52%","0,00","644.827.000,00","0,00","-0,03%"
MODL3,"3,08","-22,99","1,88","0,000","0,71%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-8,17%","0,00","1.154.890.000,00","0,00","-62,37%"
TAMM4,"52,73","-22,74","3,80","0,626","0,00%","0,524","-31,11","9,77","-0,96","18,01","9,66","6,41%","-2,21%","0,95","6,36%","-16,70%","0,00","2.174.310.000,00","4,08","9,79%"
TAMM3,"52,60","-22,68","3,79","0,625","0,00%","0,523","-31,04","9,74","-0,96","17,98","9,65","6,41%","-2,21%","0,95","6,36%","-16,70%","0,00","2.174.310.000,00","4,08","9,79%"
MAPT3,"2,52","-22,48","-0,36","0,000","0,00%","2,996","-463,18","-27,57","-0,32","-27,57","-27,57","0,00%","0,00%","0,00","-10,87%","1,58%","104,88","-6.507.000,00","0,00","0,00%"
AURE3,"13,89","-21,97","1,17","1,107","0,00%","0,299","7,09","9,72","-0,55","23,23","11,43","11,40%","-4,23%","1,32","3,50%","-5,31%","50.717.400,00","12.508.800.000,00","1,97","43,43%"
MODL11,"8,46","-21,05","1,72","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-8,17%","0,00","1.154.890.000,00","0,00","-62,37%"
MODL4,"2,72","-20,30","1,66","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-8,17%","0,00","1.154.890.000,00","0,00","-62,37%"
CRBM7,"60,00","-19,30","2,18","0,999","0,00%","0,782","1,99","-10,30","11,26","-9,02","-9,02","-9,70%","-5,18%","2,24","-12,71%","-11,28%","0,00","827.347.000,00","0,45","-1,58%"
WMBY3,"25,39","-19,30","2,87","0,836","0,00%","0,182","1,20","8,62","-1,50","25,02","25,02","9,70%","-7,05%","1,44","2,39%","-14,86%","0,00","212.439.000,00","6,51","-14,48%"
TDBH4,"0,66","-18,63","1,28","0,906","0,00%","0,811","-6,15","8,73","-5,66","10,23","10,23","10,38%","-4,86%","0,63","10,48%","-6,85%","0,00","554.115.000,00","0,27","35,74%"
TANC4,"43,00","-18,54","3,10","0,511","0,00%","0,428","-25,37","7,96","-0,78","16,20","8,69","6,41%","-2,21%","0,95","6,36%","-16,70%","0,00","2.174.310.000,00","4,08","9,79%"
EPAR4,"3,30","-17,12","1,24","20,511","0,00%","0,892","9,98","-9,81","-6,16","-9,02","-11,30","-209,16%","-119,82%","2,83","-9,81%","-7,27%","0,00","39.424.000,00","0,00","-79,30%"
CCIM3,"5,52","-16,44","0,94","0,498","0,00%","0,198","0,53","8,96","-1,09","25,04","38,84","5,55%","-3,03%","2,58","2,38%","-5,75%","0,00","660.347.000,00","1,93","29,98%"
AESB3,"8,11","-15,97","1,82","1,869","0,00%","0,382","-96,21","7,57","-0,65","17,58","10,28","24,69%","-9,01%","0,97","5,77%","-11,37%","0,00","4.216.980.000,00","2,88","19,59%"
TDBH3,"0,56","-15,81","1,08","0,769","0,00%","0,688","-5,22","7,40","-4,80","8,91","8,91","10,38%","-4,86%","0,63","10,48%","-6,85%","0,00","554.115.000,00","0,27","35,74%"
GBIO33,"10,40","-14,97","1,32","1,518","0,00%","0,791","7,57","13,53","17,58","16,06","16,06","11,21%","-10,14%","1,31","7,12%","-8,83%","0,00","838.439.000,00","0,31","-8,99%"
ENJU3,"1,22","-14,90","0,82","0,948","0,00%","0,550","1,26","-8,49","1,37","-0,75","2,18","-11,16%","-6,36%","2,47","-15,04%","-5,52%","717.986,00","304.368.000,00","0,00","28,00%"
EPAR3,"2,61","-13,54","0,98","16,222","0,00%","0,705","7,90","-7,76","-4,87","-6,97","-8,73","-209,16%","-119,82%","2,83","-9,81%","-7,27%","32.782,50","39.424.000,00","0,00","-79,30%"
