Código,Empresa,Setor,Preço,P/L,P/VP,ROE,DY
ITSA3,"13,95","9,49","1,76","18,964","8,79%","1,407","20,15","590,31","-24,14","608,67","105,70","3,21%","200,63%","3,18","0,25%","18,58%","2.449.790,00","88.755.000.000,00","0,12","-0,11%"
MRSA6B,"44,00","9,56","1,72","1,961","2,38%","0,601","7,65","5,20","-1,41","7,04","5,02","37,73%","20,50%","1,54","14,51%","17,97%","638,95","8.651.390.000,00","1,12","13,94%"
MRSA6B,"44,00","9,56","1,72","1,961","2,38%","0,601","7,65","5,20","-1,41","7,04","5,02","37,73%","20,50%","1,54","14,51%","17,97%","638,95","8.651.390.000,00","1,12","13,94%"
PSSA3,"50,54","9,67","2,08","0,799","5,90%","0,585","4,85","0,97","-4,90","0,60","0,59","82,26%","8,38%","1,25","77,44%","21,48%","105.125.000,00","15.741.200.000,00","0,00","16,78%"
SYNE3,"4,10","9,68","0,93","1,910","74,14%","0,275","9,78","5,29","-0,96","7,26","5,39","36,14%","22,85%","1,30","5,83%","9,60%","2.363.440,00","673.617.000,00","0,69","-24,81%"
ALUP11,"35,76","9,70","1,29","2,680","3,58%","0,367","3,20","4,14","-0,89","7,44","6,98","64,71%","39,41%","2,45","9,92%","13,26%","37.458.100,00","9.163.890.000,00","1,38","-3,01%"
CTWR3,"100,00","9,76","56,77","0,317","0,00%","1,141","3,79","-10,64","-142,17","-8,91","-8,91","-2,98%","3,25%","1,45","-21,86%","581,91%","0,00","879.000,00","5,52","4,94%"
TTEN3,"15,95","9,79","1,70","0,486","1,14%","0,609","3,74","14,21","-29,54","17,61","14,52","3,42%","4,92%","1,36","7,46%","17,37%","25.089.800,00","4.694.620.000,00","0,99","33,23%"
VIVO4,"71,80","9,81","2,93","1,491","0,00%","1,282","-31,87","6,78","-5,17","7,22","7,22","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
CRFB3,"8,48","9,84","0,83","0,150","0,00%","0,186","5,86","3,78","-0,68","8,04","5,79","3,95%","1,71%","1,07","6,32%","8,48%","0,00","21.435.000.000,00","1,18","11,31%"
WLMM3,"23,39","9,85","1,09","0,283","10,50%","0,538","1,97","6,01","6,38","7,82","7,43","4,70%","2,88%","1,85","11,02%","11,11%","854,29","778.663.000,00","0,58","15,30%"
LEVE4,"44,49","9,91","7,00","1,115","0,00%","1,590","12,48","6,59","-9,60","7,68","6,74","16,93%","11,26%","1,27","35,92%","70,65%","0,00","861.531.000,00","1,92","9,21%"
TCSL4,"7,82","9,95","0,83","1,105","0,00%","0,475","8,93","5,69","-2,20","5,61","2,18","19,44%","11,11%","1,34","9,67%","8,33%","0,00","22.847.800.000,00","0,14","2,29%"
MOTV3,"16,19","9,97","2,07","1,735","2,99%","0,461","3,89","4,55","-1,06","8,63","7,11","38,14%","18,59%","1,54","11,60%","20,77%","194.152.000,00","15.791.300.000,00","2,36","10,41%"
INTB3,"14,70","9,98","1,61","1,080","7,68%","0,904","2,12","10,01","3,10","9,60","7,73","10,79%","10,85%","2,42","15,07%","16,14%","34.079.000,00","2.991.500.000,00","0,30","8,90%"
CMIG3,"17,10","9,99","1,71","1,145","6,04%","0,730","2.831,47","7,83","-2,04","10,52","8,45","14,62%","11,46%","1,00","10,19%","17,14%","2.076.870,00","28.576.400.000,00","0,68","6,43%"
VIVA3,"26,30","10,03","2,11","2,052","5,16%","1,315","2,80","8,43","4,81","8,61","7,13","24,34%","20,47%","3,63","17,84%","21,00%","117.608.000,00","2.949.570.000,00","0,18","19,53%"
IGTA3,"33,13","10,15","1,48","4,864","0,00%","0,758","4,80","8,33","-3,34","10,29","9,00","58,40%","47,94%","2,51","11,33%","14,62%","0,00","3.895.430.000,00","0,73","10,66%"
CPRE3,"18,23","10,19","2,36","3,043","0,00%","1,041","-10,47","5,73","-2,60","6,13","4,83","53,07%","30,49%","0,60","20,14%","23,14%","0,00","4.593.680.000,00","0,34","0,86%"
BMIN3,"22,00","10,21","0,75","0,000","2,33%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,31%","107,29","142.210.000,00","0,00","-19,66%"
ENAT3,"21,64","10,21","1,28","2,588","0,00%","0,452","1,30","29,02","-2,52","31,98","4,64","8,92%","25,34%","3,90","2,94%","12,53%","0,00","4.487.040.000,00","1,33","16,27%"
LREN3,"14,84","10,25","1,43","0,944","6,03%","0,761","3,13","4,12","6,06","3,70","2,73","22,90%","9,21%","1,69","22,79%","13,94%","234.129.000,00","10.456.300.000,00","0,04","9,33%"
MRSL3,"3,30","10,25","0,99","0,883","0,00%","0,658","2,37","16,32","6,28","17,74","9,50","5,41%","8,69%","2,78","4,44%","9,63%","0,00","375.151.000,00","0,16","7,10%"
TELB3,"14,16","10,28","0,82","2,941","0,00%","0,327","0,74","-4,77","-4,12","0,19","1,98","-61,68%","28,62%","6,29","-11,05%","8,02%","26.738,80","1.752.090.000,00","0,01","13,41%"
ITUB3,"42,65","10,30","2,40","0,000","8,04%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,30%","69.357.600,00","195.980.000.000,00","0,00","100,66%"
TRFO3,"4,53","10,32","2,58","0,804","0,00%","1,039","4,65","5,52","7,37","5,12","5,12","14,58%","7,80%","1,43","27,63%","25,01%","0,00","76.165.000,00","0,26","16,47%"
ELPL3,"49,32","10,32","1,33","0,435","0,00%","0,312","-3,86","3,43","-0,59","7,11","5,11","12,69%","4,22%","0,74","10,64%","12,92%","0,00","7.307.990.000,00","1,51","2,53%"
